ID,CVD,Metabolism,Strength,Video Link
1,1,1,1,https://www.youtube.com/watch?v=cTk5xAEd54Q
2,1,1,0,https://www.youtube.com/watch?v=QJ0TelnXMSA
3,0,1,1,https://www.youtube.com/watch?v=sHLu6-liUL0
4,1,1,0,https://www.youtube.com/watch?v=vASHw8uqMVI
5,1,1,1,https://www.youtube.com/watch?v=NZh-ZOZLK2U
6,1,1,0,https://www.youtube.com/watch?v=6X45RGJu3eU
7,1,1,1,https://www.youtube.com/watch?v=LSQHFJXdqnQ
8,1,1,0,https://www.youtube.com/watch?v=pEVfKQ9LbDc
9,1,1,0,https://www.youtube.com/watch?v=NeN8c-94EOo
10,0,1,1,https://dl.airtable.com/8iDmKFYoQeShWougRve4_full_skipsgifsmall.gif
11,1,1,1,https://www.youtube.com/watch?v=ippmP6cgJdQ
12,0,1,1,https://dl.airtable.com/RUVFSXWHRkyIOY9dudZS_full_tenor.gif
13,1,1,1,https://www.youtube.com/watch?v=ejsnwZl95bc
14,1,1,1,https://www.youtube.com/watch?v=EvNPYh3OMKw
15,1,1,1,https://www.youtube.com/watch?v=VMhdRIulA1g
16,1,1,1,https://www.youtube.com/watch?v=i-J8VKCTrT8
17,1,1,0,https://www.youtube.com/watch?v=2LLSbJkB69U
18,1,1,1,https://www.youtube.com/watch?v=Zas5ZmknIPM
19,1,1,0,https://www.youtube.com/watch?v=Bpxd3g15ZGE
20,1,1,0,https://www.youtube.com/watch?v=pEVfKQ9LbDc
21,1,1,1,https://www.youtube.com/watch?v=Eaw48Q0iQk8
22,0,1,1,https://dl.airtable.com/UNjQnUnvTzKN4WmV44aU_full_WtFJBce.gif
23,1,1,0,https://www.youtube.com/watch?v=oPbJNdEcp9M
24,1,1,1,https://www.youtube.com/watch?v=jbWmbhElf3Q